Player Name          Place     RD1  RD2  RD3  RD4  TOTAL     Money Won
-----------------------------------------------------------------------
P 42                 1         17   11   45   39   112       $     0.00
P 25                 2         12   21   45   42   120       $     0.00
P 17                 3         15   60   32   32   139       $     0.00
P 58                 4         52   26   24   68   170       $     0.00
P 46                 5         10   97   42   35   184       $     0.00
P 40*                6         12   11   91   74   188       $     0.00
P 20                 7         16   65   22   86   189       $     0.00
P 19*                8         70   29   16   77   192       $     0.00
P  7*                9         85   27   15   68   195       $     0.00
P 30                 10        83   51   13   51   198       $     0.00
P 24                 11        82   38   26   59   205       $     0.00
P  2                 12        43   32   83   48   206       $     0.00
P 43                 12        26   65   69   46   206       $     0.00
P 48                 14        22   88   61   36   207       $     0.00
P  4*                15        45   31   84   49   209       $     0.00
P 36*                16        28   85   87   15   215       $     0.00
P 45*                17        36   63   86   31   216       $     0.00
P 28                 18        93   69   46   11   219       $     0.00
P 47                 19        35   85   22   78   220       $     0.00
P 60                 19        19   90   44   67   220       $     0.00
P 57                 21        81   42   88   10   221       $     0.00
P 33                 22        29   74   56   65   224       $     0.00
P 32                 23        69   43   22   92   226       $     0.00
P 56                 23        30   90   76   30   226       $     0.00
P 41                 25        59   92   26   50   227       $     0.00
P 15                 26        30   74   59   70   233       $     0.00
P 29                 27        79   49   20   86   234       $     0.00
P 49                 27        75   39   64   56   234       $     0.00
P 59                 29        42   94   66   46   248       $     0.00
P 50*                30        72   79   46   57   254       $     0.00
P 16                 31        77   28   60   95   260       $     0.00
P 23                 32        92   22   72   76   262       $     0.00
P  3                 33        65   86   88   31   270       $     0.00
P 21                 34        91   74   81   36   282       $     0.00
P 54                 35        57   40   90   97   284       $     0.00
P 52                 36        68   97   29   91   285       $     0.00
P  1                 37        76   81   95   52   304       $     0.00
P 53*                38        31   97   99   78   305       $     0.00
P 35*                39        76   84   78   84   322       $     0.00
P 44*                40        84   61   85   96   326       $     0.00

Player Name          Place     RD1  RD2  RD3  RD4  TOTAL     Money Won
-----------------------------------------------------------------------
P 29                 1         20   21   21   78   140       $     0.00
P 19                 2         30   42   68   20   160       $     0.00
P  4*                3         13   26   31   96   166       $     0.00
P 27                 4         75   41   47   11   174       $     0.00
P 15                 5         89   44   22   21   176       $     0.00
P  1*                6         12   49   51   71   183       $     0.00
P 17                 7         70   17   52   46   185       $     0.00
P 21                 8         82   35   52   21   190       $     0.00
P 24                 9         91   50   41   18   200       $     0.00
P 10                 10        41   84   61   23   209       $     0.00
P 41                 11        80   50   11   76   217       $     0.00
P 38                 12        72   22   74   50   218       $     0.00
P 18                 13        24   87   34   79   224       $     0.00
P  8*                14        10   67   58   96   231       $     0.00
P 36                 14        68   89   61   13   231       $     0.00
P  7                 16        66   53   22   91   232       $     0.00
P 12                 17        46   42   70   78   236       $     0.00
P 13*                18        40   44   89   67   240       $     0.00
P 39                 19        50   68   56   68   242       $     0.00
P 26*                20        88   49   40   83   260       $     0.00
P 42*                21        47   32   95   96   270       $     0.00
P  2                 22        77   84   96   22   279       $     0.00
P 14                 23        78   87   85   37   287       $     0.00
P 33                 24        95   68   90   37   290       $     0.00
P 40                 25        82   90   62   87   321       $     0.00

Player Name          Place     RD1  RD2  RD3  RD4  TOTAL     Money Won
-----------------------------------------------------------------------
P 78*                1         20   22   66   21   129       $     0.00
P 13                 2         43   27   17   50   137       $     0.00
P 22*                3         13   97   10   23   143       $     0.00
P 61                 4         17   57   38   34   146       $     0.00
P 21                 5         86   39   11   15   151       $     0.00
P 58                 5         22   30   48   51   151       $     0.00
P  4                 7         30   12   61   59   162       $     0.00
P 41                 8         51   30   42   42   165       $     0.00
P  7                 9         29   20   96   23   168       $     0.00
P 64                 10        28   42   45   59   174       $     0.00
P 40                 11        95   40   16   25   176       $     0.00
P 49                 12        20   80   38   43   181       $     0.00
P 51                 13        80   17   83   18   198       $     0.00
P 17*                14        35   25   93   46   199       $     0.00
P  6*                15        52   29   86   34   201       $     0.00
P 65                 15        69   61   31   40   201       $     0.00
P 32                 17        31   89   31   53   204       $     0.00
P 37                 18        72   39   54   40   205       $     0.00
P 23                 19        28   39   67   74   208       $     0.00
P 70                 20        31   56   79   44   210       $     0.00
P 62                 21        54   17   55   87   213       $     0.00
P 54                 22        38   89   80   11   218       $     0.00
P  5                 23        69   26   47   78   220       $     0.00
P 69                 24        74   40   16   93   223       $     0.00
P 45                 25        74   31   32   89   226       $     0.00
P 71                 26        90   60   33   45   228       $     0.00
P  8                 27        44   14   83   89   230       $     0.00
P 48*                28        48   91   59   33   231       $     0.00
P 26                 29        85   76   24   49   234       $     0.00
P 16                 30        58   86   15   80   239       $     0.00
P 31                 31        81   13   86   60   240       $     0.00
P 12*                32        37   96   42   67   242       $     0.00
P 34*                33        69   52   97   27   245       $     0.00
P 76                 33        97   12   38   98   245       $     0.00
P 68                 35        42   86   53   70   251       $     0.00
P  2                 36        71   74   87   21   253       $     0.00
P 57                 37        77   89   57   32   255       $     0.00
P 55                 38        85   14   66   95   260       $     0.00
P 35                 39        54   62   58   89   263       $     0.00
P 67*                40        75   48   91   51   265       $     0.00
P 28*                41        65   71   80   50   266       $     0.00
P 42                 42        22   76   78   93   269       $     0.00
P 43                 43        96   52   31   93   272       $     0.00
P 20*                44        92   47   80   54   273       $     0.00
P 79                 45        53   84   85   53   275       $     0.00
P 60                 46        57   68   93   66   284       $     0.00
P 29*                47        93   54   56   88   291       $     0.00
P 50                 48        94   87   31   81   293       $     0.00
P 25                 49        42   96   91   88   317       $     0.00
P 36                 50        93   49   93   96   331       $     0.00
P 47                 51        95   94   99   55   343       $     0.00

Player Name          Place     RD1  RD2  RD3  RD4  TOTAL     Money Won
-----------------------------------------------------------------------
P 68*                1         23   20   36   39   118       $     0.00
P 31                 2         24   28   51   19   122       $     0.00
P 43                 3         32   21   69   12   134       $     0.00
P 81                 4         45   24   56   13   138       $     0.00
P 21                 5         25   14   56   47   142       $     0.00
P 88                 6         24   25   32   66   147       $     0.00
P 22                 7         17   51   10   83   161       $     0.00
P  2*                8         51   60   18   39   168       $     0.00
P 57                 8         51   10   82   25   168       $     0.00
P 18*                10        27   40   16   88   171       $     0.00
P 59                 11        20   17   89   49   175       $     0.00
P 48                 12        12   79   50   37   178       $     0.00
P 69                 12        18   82   58   20   178       $     0.00
P  5*                14        32   50   36   63   181       $     0.00
P 58                 14        70   35   15   61   181       $     0.00
P 64                 14        31   37   51   62   181       $     0.00
P 26*                17        34   56   70   24   184       $     0.00
P 39*                18        86   36   34   30   186       $     0.00
P 12*                19        75   22   42   51   190       $     0.00
P 32                 20        96   12   28   60   196       $     0.00
P 23                 21        11   12   80   98   201       $     0.00
P 17                 22        10   57   57   80   204       $     0.00
P 50*                23        57   48   86   19   210       $     0.00
P 28*                24        24   85   39   63   211       $     0.00
P 46*                25        48   74   35   58   215       $     0.00
P 79                 26        64   75   61   17   217       $     0.00
P 65                 27        36   87   18   77   218       $     0.00
P  7                 28        29   27   72   91   219       $     0.00
P 87                 28        44   63   45   67   219       $     0.00
P 60*                30        67   35   50   74   226       $     0.00
P 67                 30        99   22   45   60   226       $     0.00
P 76*                32        95   55   67   13   230       $     0.00
P 61*                33        46   39   68   78   231       $     0.00
P 74*                34        74   61   24   74   233       $     0.00
P 37                 35        78   50   21   85   234       $     0.00
P 19                 36        75   34   79   48   236       $     0.00
P 33                 37        61   51   79   49   240       $     0.00
P 66                 37        17   68   89   66   240       $     0.00
P 55                 39        97   66   11   70   244       $     0.00
P 10                 40        81   15   88   62   246       $     0.00
P  6                 41        67   81   54   45   247       $     0.00
P 84*                42        56   66   98   29   249       $     0.00
P 90                 43        80   86   28   56   250       $     0.00
P 30                 44        56   87   89   19   251       $     0.00
P 53                 45        72   99   55   29   255       $     0.00
P 36                 46        61   36   60   99   256       $     0.00
P 15                 47        46   53   74   85   258       $     0.00
P 16                 47        62   40   92   64   258       $     0.00
P 13                 49        29   93   92   48   262       $     0.00
P 51*                50        97   33   72   64   266       $     0.00
P 70                 51        37   75   69   88   269       $     0.00
P  8                 52        52   26   99   98   275       $     0.00
P 80                 53        35   85   67   93   280       $     0.00
P 77                 54        83   89   73   39   284       $     0.00
P  4                 55        92   69   62   65   288       $     0.00
P 35                 56        71   96   85   43   295       $     0.00
P 41                 57        83   80   99   58   320       $     0.00
P 11                 58        79   87   82   97   345       $     0.00

Player Name          Place     RD1  RD2  RD3  RD4  TOTAL     Money Won
-----------------------------------------------------------------------
P 12*                1         23   32   14   81   150       $     0.00
P  9*                2         34   15   52   73   174       $     0.00
P 15*                3         35   31   93   34   193       $     0.00
P 11                 4         62   14   46   77   199       $     0.00
P 10*                5         84   46   45   31   206       $     0.00
P  3                 6         63   43   83   30   219       $     0.00
P  8                 7         69   28   89   36   222       $     0.00
P  7*                8         39   73   78   36   226       $     0.00
P 13*                9         97   21   45   89   252       $     0.00
P 18                 10        77   35   80   84   276       $     0.00
P 17*                11        99   79   15   93   286       $     0.00
P  2*                12        59   52   99   82   292       $     0.00
P 14                 13        83   64   91   61   299       $     0.00
P 19                 14        71   79   94   60   304       $     0.00
P  6*                15        85   89   78   87   339       $     0.00

Player Name          Place     RD1  RD2  RD3  RD4  TOTAL     Money Won
-----------------------------------------------------------------------
P 13                 1         51   28   50   41   170       $     0.00
P  5*                2         31   23   85   42   181       $     0.00
P  4*                3         31   87   35   33   186       $     0.00
P  3                 4         91   41   35   26   193       $     0.00
P 16                 5         29   38   86   49   202       $     0.00
P  7*                6         85   64   34   27   210       $     0.00
P  8                 7         95   39   39   49   222       $     0.00
P 15*                8         93   35   35   72   235       $     0.00
P  6                 9         36   56   65   81   238       $     0.00
P 10                 10        79   99   28   63   269       $     0.00
P 11                 11        48   50   94   95   287       $     0.00

Player Name          Place     RD1  RD2  RD3  RD4  TOTAL     Money Won
-----------------------------------------------------------------------
P 35                 1         22   36   30   22   110       $     0.00
P 48                 2         38   25   39   18   120       $     0.00
P  2                 3         15   30   14   65   124       $     0.00
P 19                 4         20   29   12   67   128       $     0.00
P 58                 5         27   40   51   12   130       $     0.00
P 43*                6         90   10   21   12   133       $     0.00
P 17                 7         35   37   55   21   148       $     0.00
P 80                 7         32   30   54   32   148       $     0.00
P101                 9         69   35   11   37   152       $     0.00
P112*                9         22   66   52   12   152       $     0.00
P 42                 11        16   87   20   30   153       $     0.00
P 34                 12        46   11   78   19   154       $     0.00
P 83                 13        72   15   48   20   155       $     0.00
P 46                 14        28   15   98   15   156       $     0.00
P 53                 15        12   14   34   97   157       $     0.00
P 50                 16        19   80   21   42   162       $     0.00
P 73                 17        32   40   11   80   163       $     0.00
P 71                 18        63   27   64   14   168       $     0.00
P 57                 19        44   53   38   35   170       $     0.00
P 86*                20        27   28   80   36   171       $     0.00
P 16                 21        16   68   12   80   176       $     0.00
P 77                 22        72   18   67   25   182       $     0.00
P 20*                23        50   21   62   51   184       $     0.00
P 49                 24        14   52   29   91   186       $     0.00
P114                 24        70   13   73   30   186       $     0.00
P115                 26        89   26   51   25   191       $     0.00
P 27*                27        45   61   68   18   192       $     0.00
P 94                 28        19   66   88   23   196       $     0.00
P117*                28        93   13   20   70   196       $     0.00
P 37*                30        81   27   60   30   198       $     0.00
P 55                 31        31   62   62   46   201       $     0.00
P 63                 32        39   53   77   34   203       $     0.00
P108*                33        25   22   68   99   214       $     0.00
P 29                 34        20   64   40   91   215       $     0.00
P  5                 35        40   50   32   95   217       $     0.00
P  3*                36        13   67   44   94   218       $     0.00
P 82                 36        17   75   55   71   218       $     0.00
P 15*                38        79   10   37   94   220       $     0.00
P 52                 38        11   63   48   98   220       $     0.00
P  7                 40        99   11   22   94   226       $     0.00
P 61                 41        26   42   80   79   227       $     0.00
P 44                 42        38   71   39   81   229       $     0.00
P 25                 43        42   68   23   97   230       $     0.00
P 28                 43        27   86   27   90   230       $     0.00
P 41                 45        32   83   33   85   233       $     0.00
P111*                45        80   17   76   60   233       $     0.00
P 22                 47        86   15   47   86   234       $     0.00
P 21*                48        38   53   52   94   237       $     0.00
P 62                 48        15   94   58   70   237       $     0.00
P  9                 50        36   50   82   71   239       $     0.00
P 45                 51        43   62   48   87   240       $     0.00
P 33                 52        21   72   78   81   252       $     0.00
P 91                 53        49   38   85   90   262       $     0.00
P 18                 54        82   28   76   86   272       $     0.00
P 92                 55        24   79   92   82   277       $     0.00

Player Name          Place     RD1  RD2  RD3  RD4  TOTAL     Money Won
-----------------------------------------------------------------------
P 73*                1         39   27   14   23   103       $     0.00
P 70*                2         17   21   70   20   128       $     0.00
P 30                 3         38   14   50   38   140       $     0.00
P 60                 4         34   35   63   15   147       $     0.00
P 77                 5         72   31   33   17   153       $     0.00
P 55                 6         29   18   36   72   155       $     0.00
P 38                 7         65   41   22   33   161       $     0.00
P 48                 8         38   54   61   11   164       $     0.00
P 56                 9         44   50   38   34   166       $     0.00
P 64                 10        67   41   39   21   168       $     0.00
P  1*                11        40   59   12   61   172       $     0.00
P 63                 12        81   26   28   42   177       $     0.00
P 78*                12        34   64   26   53   177       $     0.00
P 20*                14        61   17   44   57   179       $     0.00
P 67                 14        45   17   19   98   179       $     0.00
P  9                 16        54   10   68   48   180       $     0.00
P 29                 16        41   32   85   22   180       $     0.00
P 68                 18        24   37   40   84   185       $     0.00
P 44*                19        18   43   38   90   189       $     0.00
P 45                 20        41   37   56   60   194       $     0.00
P 72                 21        81   43   52   19   195       $     0.00
P  5*                22        63   13   38   84   198       $     0.00
P 42*                22        23   23   87   65   198       $     0.00
P  2                 24        84   34   19   62   199       $     0.00
P  8                 24        32   93   12   62   199       $     0.00
P 75                 26        68   79   12   47   206       $     0.00
P 31                 27        70   41   13   86   210       $     0.00
P 28*                28        44   47   98   28   217       $     0.00
P 19                 29        17   99   32   70   218       $     0.00
P 74                 29        54   70   31   63   218       $     0.00
P 41                 31        80   35   58   46   219       $     0.00
P 17                 32        81   95   30   14   220       $     0.00
P 32                 32        68   27   98   27   220       $     0.00
P 69*                34        77   19   34   94   224       $     0.00
P 16                 35        26   91   22   91   230       $     0.00
P 25                 35        96   68   54   12   230       $     0.00
P 49*                37        92   83   30   32   237       $     0.00
P 36*                38        60   55   53   74   242       $     0.00
P 51                 39        86   99   41   20   246       $     0.00
P 76                 40        56   98   64   30   248       $     0.00
P 80                 41        14   75   67   93   249       $     0.00
P 43*                42        39   99   46   67   251       $     0.00
P 57                 43        61   76   38   78   253       $     0.00
P 26                 44        41   41   80   92   254       $     0.00
P 62                 45        20   95   60   89   264       $     0.00
P 54                 46        92   65   60   61   278       $     0.00
P 50*                47        82   98   92   16   288       $     0.00
P 10                 48        58   99   93   44   294       $     0.00
P 71                 49        90   54   71   87   302       $     0.00
P 12*                50        42   95   89   85   311       $     0.00
P 13                 51        39   99   88   87   313       $     0.00
P 24                 52        83   63   83   92   321       $     0.00
P  6                 53        97   92   52   85   326       $     0.00
P 58                 54        94   43   98   92   327       $     0.00

Player Name          Place     RD1  RD2  RD3  RD4  TOTAL     Money Won
-----------------------------------------------------------------------
P 40*                1         12   34   34   16   96        $     0.00
P 38                 2         46   22   26   24   118       $     0.00
P 62                 3         15   20   74   29   138       $     0.00
P 70                 4         14   42   39   54   149       $     0.00
P 11                 5         53   37   33   31   154       $     0.00
P 64*                6         32   62   33   41   168       $     0.00
P  9                 7         38   50   57   27   172       $     0.00
P 44                 8         10   71   10   88   179       $     0.00
P  4                 9         19   13   94   58   184       $     0.00
P 12                 10        10   51   39   85   185       $     0.00
P 48                 11        15   31   62   78   186       $     0.00
P 72                 12        74   12   61   43   190       $     0.00
P 20*                13        35   73   34   49   191       $     0.00
P 68*                14        48   68   10   66   192       $     0.00
P  1                 15        21   52   38   82   193       $     0.00
P 56*                16        51   26   41   77   195       $     0.00
P 30*                17        76   35   30   55   196       $     0.00
P 61                 18        15   57   73   56   201       $     0.00
P 59*                19        29   69   14   90   202       $     0.00
P 28                 20        28   39   99   38   204       $     0.00
P  8                 21        70   52   35   50   207       $     0.00
P 39                 21        29   32   92   54   207       $     0.00
P 58*                21        79   30   53   45   207       $     0.00
P 15                 24        67   60   68   13   208       $     0.00
P 34*                25        64   74   57   16   211       $     0.00
P 73                 25        40   88   70   13   211       $     0.00
P 55                 27        44   13   68   89   214       $     0.00
P 69                 28        36   57   52   76   221       $     0.00
P 65*                29        46   71   62   44   223       $     0.00
P 17                 30        23   82   20   99   224       $     0.00
P 16                 31        84   85   12   54   235       $     0.00
P 53                 31        58   97   31   49   235       $     0.00
